Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1963,.06,.15,-.03,.16,.11,-.11,-.05,.32,.13,.13,.09,-.11,-.20,.07
1964,-.20,-.20,-.20,-.24,-.14,-.25,-.68,-.22,-.11,-.14,-.13,-.30,-.09,-.42
1965,-.10,-.13,-.07,-.17,-.03,-.13,-.20,-.24,-.11,-.08,.01,-.21,.00,-.09
1966,-.05,.00,-.09,-.12,.08,-.16,-.67,-.16,.08,.17,.00,-.24,-.17,.15
1967,-.02,.03,-.08,.13,-.14,-.02,.44,.27,-.06,-.11,-.16,-.07,-.07,.26
1968,-.07,-.05,-.08,-.08,-.06,-.07,-.16,-.02,-.08,-.01,-.10,-.12,.02,-.13
1969,.07,-.01,.15,-.26,.32,.05,.05,-.59,-.15,.35,.29,.02,.14,.02
1970,.03,-.03,.09,-.10,.06,.11,-.16,-.13,-.06,.06,.06,.09,.00,.40
1971,-.09,-.15,-.03,-.06,-.26,.10,-.05,.00,-.10,-.30,-.22,.04,.11,.31
1972,.01,-.18,.21,-.35,.16,.18,-.45,-.49,-.22,.06,.26,.14,.02,.62
1973,.15,.10,.20,.13,.17,.16,.20,.26,.02,.06,.27,.20,-.01,.37
1974,-.08,-.19,.04,-.17,-.20,.18,-.28,-.10,-.18,-.23,-.16,.21,-.06,.60
1975,-.01,-.05,.01,.12,-.22,.12,.22,.36,-.05,-.30,-.14,.13,.04,.27
1976,-.11,-.21,-.02,-.25,-.11,.02,-.04,-.33,-.28,-.14,-.08,.09,.10,-.37
1977,.18,.12,.24,.14,.16,.26,.23,.22,.07,.09,.22,.22,.37,.14
1978,.07,.02,.11,-.03,.08,.14,-.07,.01,-.03,.10,.07,.20,.16,-.13
1979,.16,.08,.25,-.03,.25,.24,-.58,.06,.09,.23,.26,.32,.38,-.29
1980,.27,.16,.38,.06,.29,.45,.31,.01,.02,.31,.28,.35,.37,.98
1981,.32,.38,.26,.50,.18,.34,1.28,.77,.09,.21,.15,.29,.37,.50
1982,.13,.06,.20,-.07,.26,.14,-.30,.07,-.08,.24,.29,.18,.30,-.29
1983,.31,.26,.36,.24,.43,.21,.30,.67,-.05,.29,.57,.20,.29,.05
1984,.16,.04,.27,.03,.18,.26,.38,.07,-.12,.07,.30,.17,.24,.60
1985,.12,-.01,.24,-.03,.10,.29,.37,-.27,-.01,.03,.17,.29,.39,.07
1986,.19,.13,.25,.10,.23,.22,.05,.24,.04,.17,.29,.26,.26,-.02
1987,.33,.27,.41,.07,.59,.26,-.28,.13,.14,.56,.62,.33,.21,.16
1988,.40,.37,.44,.40,.38,.44,.76,.50,.23,.31,.44,.39,.18,1.14
1989,.29,.29,.29,.42,.15,.34,.41,.67,.27,.09,.22,.37,.25,.39
1990,.44,.51,.37,.61,.37,.36,.59,.83,.48,.36,.39,.38,.33,.34
1991,.42,.41,.44,.46,.39,.44,.75,.59,.28,.34,.44,.34,.34,1.03
1992,.23,.12,.33,.07,.30,.28,-.19,.37,-.03,.19,.40,.21,.33,.42
1993,.24,.20,.29,.13,.33,.23,.64,.23,-.08,.29,.38,.26,.35,-.11
1994,.32,.36,.27,.43,.31,.21,.37,.46,.43,.26,.37,.27,.25,-.12
1995,.46,.58,.34,.70,.44,.24,1.40,.94,.33,.39,.48,.32,.16,.09
1996,.34,.27,.41,.25,.33,.45,.79,.19,.13,.30,.36,.35,.31,1.11
1997,.48,.53,.43,.55,.52,.35,.78,.87,.27,.51,.53,.44,.38,.01
1998,.63,.73,.54,.80,.71,.36,.91,.92,.69,.62,.80,.44,.32,.21
1999,.42,.51,.32,.74,.25,.33,.47,.83,.77,.18,.32,.50,.16,.08
2000,.42,.51,.33,.71,.27,.34,1.10,.76,.56,.22,.33,.47,.10,.37
2001,.55,.64,.45,.80,.44,.44,1.04,.81,.72,.41,.46,.58,.20,.48
2002,.63,.71,.56,.82,.60,.48,1.27,.96,.59,.55,.66,.49,.29,.88
2003,.62,.72,.52,.81,.63,.41,1.43,.94,.53,.60,.67,.47,.23,.56
2004,.55,.68,.42,.75,.56,.32,.63,.92,.69,.56,.57,.49,.21,-.07
2005,.69,.84,.55,.99,.64,.46,1.99,1.16,.56,.61,.67,.51,.21,.79
2006,.63,.79,.48,.96,.56,.40,1.65,1.05,.68,.55,.58,.54,.19,.37
2007,.66,.83,.49,1.09,.47,.48,1.90,1.30,.69,.45,.50,.54,.06,1.16
2008,.54,.65,.42,.87,.39,.40,1.36,1.03,.62,.33,.44,.55,.10,.47
2009,.64,.70,.59,.74,.68,.50,1.20,.59,.68,.66,.71,.61,.18,.81
2010,.72,.88,.55,.99,.69,.48,1.97,.86,.75,.72,.66,.66,.23,.37
2011,.60,.71,.49,.93,.38,.58,2.06,.91,.58,.39,.37,.68,.26,.92
2012,.63,.77,.50,.98,.52,.45,1.84,.90,.74,.47,.57,.59,.25,.34
2013,.66,.76,.55,.88,.58,.54,1.17,1.03,.70,.58,.57,.64,.30,.67
2014,.75,.91,.58,1.06,.67,.54,1.82,1.13,.77,.70,.64,.75,.23,.49
2015,.87,1.13,.62,1.27,.91,.41,1.73,1.46,1.01,.93,.90,.75,.19,-.29
